American; |əˈmerɪkən|;американский, американец, американка
noisily; |ˈnɔɪzɪli|;шумно
noisy; |ˈnɔɪzi|;шумный, шумящий, шумливый, кричащий, галдящий, яркий
none; |nʌn|;ни один, никто, ничто, никакой, совсем не, вовсе не, нисколько
nonsense; |ˈnɑːnsens|;ерунда, глупости, вздор, чушь, чепуха, бессмыслица, абсурд, ахинея, дребедень, пустяк
nope; |noʊp|;нет, нет
nor; |nɔːr|;ни, и ... не, тоже ... не, также ... не
normal; |ˈnɔːrml|;нормальный, обычный, стандартный, нормаль, нормальное состояние
normally;;обычно
north; |nɔːrθ|;север, норд, к северу, на север, северный
northern; |ˈnɔːrðərn|;северный, дующий с севера, северянин, житель Севера
nose; |noʊz|;нос, носик, аромат, обоняние, носовой, головной, совать нос, нюхать, чуять
not; |nɑːt|;не, нет, ни
notably; |ˈnoʊtəbli|;особенно, заметно, в особенности, значительно, исключительно, весьма
note; |noʊt|;примечание, внимание, записка, замечание, отмечать, замечать, указывать
nothing; |ˈnʌθɪŋ|;ничего, ничто, мелочь, ноль, ничего, ничто, совсем нет
notice; |ˈnoʊtɪs|;уведомление, извещение, внимание, замечать, отмечать, обращать внимание
noticeable; |ˈnoʊtɪsəbl|;заметный, приметный, достойный внимания
notion; |ˈnoʊʃn|;понятие, представление, идея, мнение, взгляд, точка зрения, намерение, галантерея
noun; |naʊn|;существительное, имя существительное
novel; |ˈnɑːvl|;роман, повесть, новелла, сборник новелл, новый, оригинальный, неизведанный
now; |naʊ|;сейчас, теперь, настоящее время, раз, когда
nowadays; |ˈnaʊədeɪz|;настоящее время, в наши дни, в наше время, теперь
nowhere; |ˈnoʊwer|;нигде, никуда, некуда, негде
nuclear; |ˈnuːkliər|;ядерный, атомный, нуклеарный, содержащий ядро
nuisance; |ˈnuːsns|;неприятность, неудобство, помеха, досада, неприятный человек
number; |ˈnʌmbər|;число, номер, количество, цифра, сумма, числиться, нумеровать, насчитывать
numerous; |ˈnuːmərəs|;многочисленный, многие, множественный
nurse; |nɜːrs|;медсестра, няня, медицинская сестра, кормить, нянчить, ухаживать
nut; |nʌt|;гайка, орех, муфта, псих, гаечный, шевелить мозгами
o'clock; |əˈklɑːk|;час, на часах, по часам
obey; |əˈbeɪ|;подчиняться, повиноваться, слушаться, выполнять приказание
object; |ˈɑːbdʒekt|;объект, предмет, цель, вещь, возражать, возразить, объектный, целевой
objection; |əbˈdʒekʃn|;возражение, протест, недостаток, неодобрение, неприязнь, нелюбовь, дефект
objective; |əbˈdʒektɪv|;цель, задача, объект, объектив, стремление, объективный, целевой, предметный
obligation; |ˌɑːblɪˈɡeɪʃn|;обязательство, обязанность, долг, обязательность, принудительная сила
observation; |ˌɑːbzərˈveɪʃn|;наблюдение, замечание, соблюдение, наблюдательность, высказывание, обсервация
observe; |əbˈzɜːrv|;соблюдать, наблюдать, заметить, соблюсти, следить за, блюсти, замечать, усмотреть
obtain; |əbˈteɪn|;получать, приобретать, добиваться, достигать, добывать, применяться, существовать
obvious; |ˈɑːbviəs|;очевидный, ясный, явный, банальный, понятный, тривиальный
obviously; |ˈɑːbviəsli|;очевидно, явно, видно, ясно, по-видимому
occasion; |əˈkeɪʒn|;случай, повод, раз, возможность, событие, вызывать, причинять, служить поводом
occasional; |əˈkeɪʒənl|;случайный, редкий, случающийся время от времени, случающийся иногда
occasionally; |əˈkeɪʒnəli|;иногда, изредка, время от времени, порой, случайно, подчас, нерегулярно
occupation; |ˌɑːkjuˈpeɪʃn|;оккупация, занятие, занятость, профессия, оккупационный
occupied; |ˈɑːkjupaɪd|;оккупированный, занятый
occupy;  |ˈɑːkjupaɪ|; занимать, оккупировать, захватывать, завладеть, арендовать, завладевать
occur; |əˈkɜːr|;происходить, встречаться, иметь место, случаться, являться, попадаться, бывать
ocean; |ˈoʊʃn|;океан, масса, целое море, океанский
odd; |ɑːd|;нечетный, странный, лишний, необычный, нечетное число, решающая взятка, удар
oddly; |ˈɑːdli|;странно
odds; |ɑːdz|;шансы, разногласие, перевес, разница, преимущество, неравенство, гандикап
of; |əv|;из, от, о, об, для
of course;;конечно
off; |ɔːf|;от, с, у, выключено, вон, выключенный, прекращать
offence; |əˈfens|;нападение, преступление, правонарушение, нарушение, оскорбление, проступок, обида
offend; |əˈfend|;оскорблять, обижать, задевать, нарушать, погрешить, нарушать закон
offensive; |əˈfensɪv|;наступление, наступательная операция, наступательный, оскорбительный, обидный
offer; |ˈɔːfər|;предложение, предложение цены, попытка, предлагать, возносить, выдвинуть
office; |ˈɔːfɪs|;офис, служба, должность, бюро, управление, пост, контора, ведомство, канцелярия
officer; |ˈɔːfɪsər|;офицер, должностное лицо, чиновник, командовать
official; |əˈfɪʃl|;официальный, служебный, должностной, чиновник, должностное лицо, служащий
officially; |əˈfɪʃəli|;официально, формально
often; |ˈɔːfn|;часто, зачастую, много раз
oil; |ɔɪl|;масло, нефть, нефтяной, масляный, смазать, смазывать
old; |oʊld|;старый, старинный, прежний, бывший, давний, старики, прошлое
on; |ɑːn|;на, по, о, в, об, согласно, левая сторона
once; |wʌns|;раз, один раз, один раз, как только, прежний, тогдашний
one; |wʌn|;один, номер один, один, кто-то, единственный, единица, одиночка
one another;;друг друга
onion; |ˈʌnjən|;лук, луковица, репчатый лук, голова, приправлять луком
online; |ˌɑːnˈlaɪn|;онлайн, подключённый, в интернете, в онлайне, в подключённом режиме
only; |ˈoʊnli|;только, лишь, всего, только, но, единственный
onto; |ˈɑːntə|;на, в
open; |ˈoʊpən|;открытый, раскрывшийся, открыть, открываться, открытое пространство
opening; |ˈoʊpnɪŋ|;открытие, отверстие, вскрытие, начало, открывающий, первый, начальный
openly; |ˈoʊpənli|;открыто, откровенно, публично, начистоту
opera; |ˈɑːprə|;опера, оперное искусство
operate; |ˈɑːpəreɪt|;работать, действовать, управлять, управляться, эксплуатировать, оперировать
operation; |ˌɑːpəˈreɪʃn|;операция, работа, эксплуатация, действие, управление, процесс, оператор, команда
operator; |ˈɑːpəreɪtər|;оператор, рабочий, механик, радист, хирург, дежурный, связист, телеграфист, телефонист
opinion; |əˈpɪnjən|;мнение, взгляд, убеждение, воззрение, заключение специалиста, судебное решение
opponent; |əˈpoʊnənt|;противник, оппонент, враг, противоположный, враждебный
opportunity; |ˌɑːpərˈtuːnəti|;возможность, удобный случай, благоприятная возможность
oppose; |əˈpoʊz|;выступать против, противиться, сопротивляться, противопоставлять
opposed; |əˈpoʊzd|;противоположный, враждебный, противный, встречающий сопротивление
opposing; |əˈpoʊzɪŋ|;сопротивление
opposite; |ˈɑːpəzət|;напротив, напротив, против, на, противоположный, противоположность
opposition; |ˌɑːpəˈzɪʃn|;оппозиция, противостояние, оппозиционный
option; |ˈɑːpʃn|;вариант, опция, выбор, опцион, средство, оптация, право выбора, свобода выбора
or; |ɔːr|;или, либо, дизъюнкция, жёлтый цвет, золотой цвет
orange;  |ˈɔːrɪndʒ|; оранжевый, апельсиновый, апельсинный, апельсин, оранжевый цвет
orchestra; |ˈɔːrkɪstrə|;оркестр, партер, место для оркестра или хора
order; |ˈɔːrdər|;заказ, порядок, приказ, распоряжение, ордер, заказывать, приказывать, упорядочивать
ordinary; |ˈɔːrdneri|;обычный, обыкновенный, простой, дежурное блюдо, столовая, таверна
organ; |ˈɔːrɡən|;орган, газета, учреждение, голос, пенис, часть тела, печатный орган
organic; |ɔːrˈɡænɪk|;органический, органичный, натуральный, основной, систематизированный
organization; |ˌɔːrɡənəˈzeɪʃn|;организация, структура, формирование, организационный
organize; |ˈɔːrɡənaɪz|;организовать, организоваться, устраивать, делать органическим
organized; |ˈɔːrɡənaɪzd|;организованный, органический, оборудованный
origin; |ˈɔːrɪdʒɪn|;происхождение, начало, источник, возникновение, первоисточник, первопричина
original; |əˈrɪdʒənl|;оригинальный, исходный, первоначальный, оригинал, подлинник, первоисточник, чудак
originally; |əˈrɪdʒənəli|;первоначально, оригинально, по происхождению
other; |ˈʌðər|;другой, остальные, иной, другой, иначе
otherwise; |ˈʌðərwaɪz|;иначе, в противном случае, иным образом, иной, другой
ought to;;следует
ounce; |aʊns|;унция, ирбис, капля, чуточка
our; |ɑːr|;наш, наша, наше, наши, свое
ours; |ɑːrz|;наш, свой
ourselves; |ɑːrˈselvz|;себя, себе, сами, собой, собой
out; |aʊt|;из, вне, за, вне, наружу, выход, аут, наружный, изгнать
outcome; |ˈaʊtkʌm|;результат, исход, выход, развязка, последствие
outdoor; |ˈaʊtdɔːr|;наружный, внешний, надворный, на открытом воздухе
outdoors; |ˌaʊtˈdɔːrz|;на открытом воздухе, улица, двор, наружный
outer; |ˈaʊtər|;внешний, наружный, белое поле мишени, в 'молоко'
outline; |ˈaʊtlaɪn|;контур, план, набросок, схема, очерчивать, контурный
output; |ˈaʊtpʊt|;выходной, выход, продукция, мощность, выпускать
outside;  |ˌaʊtˈsaɪd|; вне, снаружи, наружу, вне, за пределами, внешний, наружный, наружность
outstanding; |aʊtˈstændɪŋ|;выдающийся, незаурядный, знаменитый, невыполненный, неуплаченный, просроченный
outwards; |ˈaʊtwərdz|;наружу, за пределы
oven; |ˈʌvn|;духовка, печь, духовой шкаф
over; |ˈoʊvər|;больше, за, над, на, по, чрезмерный, чрезмерно, свыше, излишек, перелет
overall; |ˌoʊvərˈɔːl|;общий, полный, всеобщий, полностью, повсюду, комбинезон, спецодежда
overcome; |ˌoʊvərˈkʌm|;преодолевать, побороть, перебороть, побеждать, превозмочь, одолевать, изживать
overhear;|ˌoʊvərˈhɪr|;подслушивать, нечаянно услышать
overseas; |ˌoʊvərˈsiːz|;за границу, за границей, за морем, заморский, заграничный, заокеанский
owe; |oʊ|;быть должным, причитаться, быть в долгу, быть обязанным кому-л.
own; |oʊn|;собственный, собственность, владеть, иметь, свой
owner; |ˈoʊnər|;владелец, собственник, хозяин, владетель, командир корабля
ownership; |ˈoʊnərʃɪp|;собственность, владение, право собственности
oxygen; |ˈɑːksɪdʒən|;кислород, кислородный
pace; |peɪs|;темп, скорость, шаг, поступь, шагать, расхаживать, с позволения
pack; |pæk|;пакет, упаковка, пак, пачка, упаковывать, упаковочный, вьючный
package; |ˈpækɪdʒ|;пакет, упаковка, посылка, сверток, пачка, тюк, упаковывать, фасовать, оформлять
packet; |ˈpækɪt|;пакет, пачка, пакетбот, куш, группа, связка, заворачивать в пакет
pad; |pæd|;подушка, блокнот, подкладка, подушечка, дополнять, заполнять, раздувать
page; |peɪdʒ|;страница, полоса, паж, яркое событие, нумеровать страницы
pain; |peɪn|;боль, страдание, горе, огорчение, болеть, причинять боль, мучить, огорчать
painful; |ˈpeɪnfl|;болезненный, болевой, мучительный, тягостный, тяжелый, трудный, неприятный
paint; |peɪnt|;краска, окраска, румяна, покрасить, красить, краситься
painter; |ˈpeɪntər|;художник, живописец, маляр, носовой фалинь
painting; |ˈpeɪntɪŋ|;картина, живопись, покраска, окраска, рисующий
pair; |per|;пара, чета, партнеры, парный, спаривать, спариваться
palace; |ˈpæləs|;дворец, чертог, особняк, роскошное здание, дворцовый
pale; |peɪl|;бледный, слабый, тусклый, бледнить, бледнеть, рамки, пределы, черта
palm; |pɑːm|;ладонь, пальма, пальмовое дерево, гладить, прятать в руке, подкупать
pan; |pæn|;кастрюля, панорамирование, поддон, панорамировать, задать жару, промывать
panel;  |ˈpænl|; панель, панно, комиссия, панельный, филенчатый, обшивать панелями
panic; |ˈpænɪk|;паника, могар, забава, шутка, панический, пугать, наводить панику
pants; |pænts|;брюки, штаны, кальсоны, трусы
paper; |ˈpeɪpər|;бумага, документ, статья, бумажный, газетный, завертывать в бумагу
paragraph; |ˈpærəɡræf|;пункт, параграф, абзац, газетная заметка, разделять на абзацы
parallel; |ˈpærəlel|;параллельный, параллельно, параллель, аналогия
parcel; |ˈpɑːrsl|;посылка, пакет, сверток, частично, завертывать в пакет
pardon;  |ˈpɑːrdn|; прощение, извинение, помиловать, прощать, миловать, извинять
parent; |ˈperənt|;родитель, предок, родительница, причина, родительский, исходный
park; |pɑːrk|;парк, заповедник, парковать, оставлять
parking; |ˈpɑrkɪŋ|;стоянка, автостоянка, автомобильная стоянка
parliament; |ˈpɑːrləmənt|;парламент, имбирный пряник
part; |pɑːrt|;частью, частично, отчасти, часть, сторона, роль, деталь, разнимать, расставаться
participate; |pɑːrˈtɪsɪpeɪt|;участвовать, принимать участие, соучаствовать, разделять, иметь общее
participle; |ˈpɑːrtɪsɪpl|;причастие, деепричастие
particular; |pərˈtɪkjələr|;особый, особенный, частный, специфический, частность, деталь, подробность
particularly; |pərˈtɪkjələrli|;особенно, в частности, в особенности, очень, чрезвычайно, особым образом, детально
partly; |ˈpɑːrtli|;частично, отчасти, частью, до некоторой степени
partner; |ˈpɑːrtnər|;партнер, соучастник, напарник, супруг, быть партнером, ставить в пару
partnership; |ˈpɑːrtnərʃɪp|;сотрудничество, товарищество, компания, участие, компаньоны
party; |ˈpɑːrti|;партия, участник, сторона, вечеринка, партийный
pass;  |pæs|; проход, передача, перевал, пас, пропуск, пасс, проходить, передавать, переходить
passage;  |ˈpæsɪdʒ|; проход, прохождение, пассаж, проезд, пересекать, совершать переезд
passenger; |ˈpæsɪndʒər|;пассажир, седок, слабый игрок спортивной команды, неспособный член
passing; |ˈpæsɪŋ|;прохождение, протекание, проходящий, мимолетный, чрезвычайно, очень
passion; |ˈpæʃn|;страсть, увлечение, азарт, страстность, чувствовать страсть, выражать страсть
passive; |ˈpæsɪv|;пассивный, страдательный, инертный, страдательный залог, пассивная форма
passport; |ˈpæspɔːrt|;паспорт, паспортный
password; |ˈpæswɜːrd|;пароль, пропуск
past; |pæst|;прошлый, прошедший, прошлое, прошедшее, мимо, после, мимо, за, после, сверх
pasta; |ˈpɑːstə|;макароны, макаронные изделия
path; |pæθ|;путь, траектория, дорожка, тракт, контур, тропа, курс, тропинка, стезя, ветвь, аллея, пучок
patience; |ˈpeɪʃns|;терпение, терпеливость, пасьянс, настойчивость
patient; |ˈpeɪʃnt|;пациент, больной, терпеливый, упорный, настойчивый
pattern; |ˈpætərn|;узор, шаблон, модель, рисунок, копировать, примерный, образцовый
pause; |pɔːz|;пауза, перерыв, остановка, замешательство, останавливаться, делать паузу
pay; |peɪ|;платный, рентабельный, плата, зарплата, выплата, платить, платиться
payment; |ˈpeɪmənt|;оплата, платеж, уплата, взнос, плата, вознаграждение, возмездие
peace; |piːs|;мир, покой, спокойствие, тишина, мирный
peaceful; |ˈpiːsfl|;мирный, спокойный
peak; |piːk|;пик, максимум, вершина, пиковый, максимальный, чахнуть, слабеть
pen; |pen|;перо, ручка, авторучка, писатель, сочинять, запирать, заключать, загонять
penalty; |ˈpenəlti|;штраф, пенальти, наказание, взыскание, расплата
pencil; |ˈpensl|;карандаш, кисть, манера, стиль, рисовать, рисовать карандашом
penny; |ˈpeni|;пенни, пенс, монета в 1 цент
pension; |ˈpenʃn|;пенсия, пансионат, пансион, пособие, назначать пенсию, субсидировать
people; |ˈpiːpl|;люди, народ, население, жители, нация, населять, заселять, расти
pepper; |ˈpepər|;перец, живость, едкость, перцовый, поперчить, перчить, усыпать
per; |pər|;в, за, на, по, с, согласно, через, посредством
perceive;  |pərˈsːv|; воспринимать, чувствовать, ощущать, понимать, осознавать, постигать, усмотреть
percent; |pərˈsent|;процент
percentage; |pərˈsentɪdʒ|;процент, доля, часть, процентный
perception; |pərˈsepʃn|;восприятие, ощущение, понимание, осознание, перцепция, сбор, завладение, получение
perfect;  |ˈpɜːrfɪkt|; совершенный, совершенствовать, идеальный, перфект
perfectly; |ˈpɜːrfɪktli|;отлично, совершенно, вполне, в совершенстве
perform; |pərˈfɔːrm|;выполнять, исполнять, совершать, выступать, играть, проделать, представлять
performance;  |pərˈfɔːrməns|; производительность, исполнение, эффективность, выполнение, деятельность
performer; |pərˈfɔːrmər|;исполнитель
perhaps; |pərˈhæps|;возможно, может быть, пожалуй, авось
period; |ˈpɪriəd|;период, время, точка, промежуток времени, тайм, эпоха, урок, пауза в конце периода
permanent; |ˈpɜːrmənənt|;постоянный, перманентный, бессменный, неизменный, долговременный, необратимый
permanently; |ˈpɜːrmənəntli|;постоянно, надолго, перманентно, непрерывно, неизменно
permission;  |pərˈmɪʃn|; разрешение, позволение
permit;  |pərˈmɪt|; разрешение, пропуск, путевка, позволять, разрешать, допускать
person; |ˈpɜːrsn|;человек, лицо, личность, особа, особь, персонаж, субъект, юридическое лицо, внешность
personal; |ˈpɜːrsənl|;личный, персональный, субъективный, светская хроника в газете
personality; |ˌpɜːrsəˈnæləti|;личность, индивидуальность, деятель, персона, особенности характера
personally; |ˈpɜːrsənəli|;лично, персонально, сам, собственной персоной, что касается меня, его и т.п.
personnel; |ˌpɜːrsəˈnel|;персонал, кадры, личный состав
perspective; |pərˈspektɪv|;перспектива, вид, виды на будущее, перспективный
persuade; |pərˈsweɪd|;убеждать, уговаривать, склонить, отговорить, сагитировать, уверять, упросить
pet; |pet|;домашний, любимый, ручной, домашнее животное, ласкать, баловать
petrol; |ˈpetrəl|;бензин, нефть, горючее, бензиновый, чистить бензином
phase;  |feɪz|; фаза, этап, стадия, период, аспект, фация, фазировать
phenomenon;  |fəˈnɑːmɪnən|; явление, феномен, необыкновенное явление, объект чувственного восприятия
philosophy; |fəˈlɑːsəfi|;философия, философский подход к жизни
phone; |foʊn|;телефон, фона, звонить по телефону
photo; |ˈfoʊtoʊ|;фото, фотография, фотографировать
photocopy;  |ˈfoʊtoʊkɑːpi|; ксерокопия, фотокопировать
photograph; |ˈfoʊtəɡræf|;фотография, фотографический снимок, сфотографировать, фотографировать
photographer; |fəˈtɑːɡrəfər|;фотограф
photography; |fəˈtɑːɡrəfi|;фотография, фотосъемка, фотографирование
phrase; |freɪz|;фраза, выражение, оборот, язык, стиль, фразировать, выражать, выражать словами
physical; |ˈfɪzɪkl|;физический, материальный, телесный, медосмотр, медицинский осмотр
physically; |ˈfɪzɪkli|;физически
physics; |ˈfɪzɪks|;физика
piano; |piˈænoʊ|;пианино, фортепьяно, рояль, фортепьянный, пиано
pick; |pɪk|;выбор, кирка, отбор, плектр, кайла, удар, выбирать, собирать, подбирать, ковырять
picture; |ˈpɪktʃər|;картина, изображение, картинка, рисунок, изобразить, представлять себе
pie; |paɪ|;пирог, торт, пирожок, ералаш, сорока, смешивать, смешивать шрифт
piece; |piːs|;часть, кусок, штука, деталь, штучный, чинить, латать
pig; |pɪɡ|;свинья, поросенок, хрюшка, свинина, пороситься, есть с жадностью
pile;  |paɪl|; куча, груда, стопка, ворс, штабель, ворох, нагружать, заваливать, навалить
pill; |pɪl|;таблетка, пилюля, шарик, грабить, давать пилюли, забаллотировать
pilot; |ˈpaɪlət|;пилот, летчик, лоцман, контрольный, пробный, пилотировать, вести
pin; |pɪn|;штифт, штырь, вывод, булавка, приколоть, прикалывать, булавочный
pink; |pɪŋk|;розовый, либеральничающий, пинка, розовый цвет, розоветь, прокалывать
pint;  |paɪnt|; пинта, кружка, кружка пива
pipe; |paɪp|;труба, трубопровод, свирель, свистеть, свистать, пищать, петь
pitch;  |pɪtʃ|; подача, бросать, высота, смола, питч, пек, наклон, уклон, смолить, подавать, кидать, ставить
pity; |ˈpɪti|;жалость, сожаление, сострадание, жалеть, соболезновать
pizza; |ˈpiːtsə|;пицца
place; |pleɪs|;место, местечко, положение, город, площадь, размещать, ставить, помещать, помещаться
plain;  |pleɪn|; равнина, простой, ясный, ясно, откровенно, жаловаться
plan; |plæn|;план, намерение, проект, замысел, схема, планировать, строить планы
plane; |pleɪn|;самолет, плоскость, уровень, плоский, плоскостной, строгать, выравнивать
planet; |ˈplænɪt|;планета
planned; |ˈplænd|;запланированный, планированный, плановый, планомерный
planning; |ˈplænɪŋ|;планирование, проектирование, землеустройство
plant;  |plænt|; завод, растение, установка, фабрика, сажать, насаждать, садить, подсадить
plastic; |ˈplæstɪk|;пластиковый, пластмассовый, пластик, пластмасса, пластичность
plate; |pleɪt|;плита, тарелка, пластинка, лист, анод, обшивать металлическим листом
platform; |ˈplætfɔːrm|;платформа, площадка, помост, перрон, планировать, помещать на платформу
play; |pleɪ|;играть, исполнять, разыгрывать, игра, пьеса, спектакль, зазор, действие, люфт
player; |ˈpleɪər|;игрок, плеер, музыкант, спортсмен, актер, картежник
pleasant; |ˈpleznt|;приятный, милый, славный, отрадный, веселый, шутливый
please; |pliːz|;радовать, нравиться, угождать, доставлять удовольствие, соблаговолить, изволить
pleased; |pliːzd|;довольный
pleasure; |ˈpleʒər|;удовольствие, наслаждение, доставлять удовольствие, увеселительный
plenty; |ˈplenti|;много, достаточно, довольно, множество, обильный, многочисленный
plot;  |plɑːt|; сюжет, график, заговор, участок земли, план, наносить, вычерчивать, чертить
plug;  |plʌɡ|; штекер, пробка, штепсель, штепсельная вилка, вставлять, затыкать, закупоривать
plural; |ˈplʊrəl|;множественный, многочисленный, множественное число
plus; |plʌs|;плюс, преимущество, плюс, положительный, добавочный
pocket; |ˈpɑːkɪt|;карманный, карман, кармашек, гнездо, присваивать
poem; |ˈpoʊəm|;поэма, стихотворение, что-либо прекрасное, что-либо поэтичное
poet; |ˈpoʊət|;поэт, стихотворец
poetry; |ˈpoʊətri|;поэзия, стихи, поэтичность
point; |pɔɪnt|;точка, пункт, момент, очко, место, дело, смысл, указывать, острить, целиться, говорить
pointed; |ˈpɔɪntɪd|;заостренный, острый, остроконечный, подчеркнутый, критический, наведенный, колкий
poison; |ˈpɔɪzn|;яд, отрава, отравлять, портить, развращать
poisonous; |ˈpɔɪzənəs|;ядовитый, отвратительный, противный
pole; |poʊl|;полюс, столб, шест, жердь, полюсный, отталкивать шестом
police; |pəˈliːs|;полиция, полицейский, полицейские силы, охранять, контролировать
policeman; |pəˈliːsmən|;полицейский, полисмен
policy; |ˈpɑːləsi|;политика, полис, курс, страховой полис, линия поведения, установка, хитрость
polish; |ˈpoʊlɪʃ|;полировать, шлифовать, чистить, начистить, полировка, лак, лоск, глянец, политура
polite; |pəˈlaɪt|;вежливый, учтивый, любезный, обходительный, благовоспитанный, изящный, изысканный
politely; |pəˈlaɪtli|;вежливо, любезно
political; |pəˈlɪtɪkl|;политический, государственный, политзаключенный
politician; |ˌpɑːləˈtɪʃn|;политик, политикан, государственный деятель
politics; |ˈpɑːlətɪks|;политика, политическая жизнь, политическая деятельность
poll; |poʊl|;голосование, список избирателей, голосовать, проводить голосование
polluted; |pəˈluːtəd|;загрязненный, развращенный
pollution; |pəˈluːʃn|;загрязнение, осквернение, поллюция
pond; |pɑːnd|;пруд, водоем, бассейн, океан, садок, запруда, запруживать, образовывать пруд
pool; |puːl|;бассейн, пул, плавательный бассейн, объединять в общий фонд
poor; |pɔːr|;бедный, плохой, низкий, неимущий, бедные, бедняки, беднота, неимущие
pop; |pɑːp|;популярный, хлопать, хлопнуть, папа, хлоп, папаша, внезапно, с шумом
popular; |ˈpɑːpjələr|;популярный, народный, общедоступный, широко известный, общераспространенный
popularity; |ˌpɑːpjuˈlærəti|;популярность
population; |ˌpɑːpjuˈleɪʃn|;население, народонаселение, жители, заселение
port; |pɔːrt|;порт, отверстие, гавань, портовый, левый
pose; |poʊz|;поза, позировать, излагать, формулировать
position;  |pəˈzɪʃn|; позиция, положение, должность, место, помещать, ставить
positive;  |ˈpɑːzətɪv|; положительный, позитивный, уверенный, позитив, положительная степень
possess; |pəˈzes|;обладать, владеть, овладевать, захватывать, сохранять, удерживать
possession; |pəˈzeʃn|;владение, обладание, одержимость, зависимая территория
possibility; |ˌpɑːsəˈbɪləti|;возможность, вероятность, перспектива
possible; |ˈpɑːsəbl|;возможный, вероятный, сносный, терпимый, возможное, возможный кандидат
possibly; |ˈpɑːsəbli|;возможно, по возможности, может быть
post; |poʊst|;пост, должность, после, почтой, вывешивать, почтовый
poster; |ˈpoʊstər|;плакат, афиша, объявление, плакатный, рекламировать
pot;  |pɑːt|; горшок, банка, кастрюля, котел, чайник, сажать ребенка на горшок
potato;  |pəˈteɪtoʊ|; картофель, картошка, картофелина, дырка, картофельный
potential; |pəˈtenʃl|;потенциал, возможность, напряжение, потенциальный, возможный
pound; |paʊnd|;фунт, фунт стерлингов, загон, тюрьма, растереть, бить, биться, истолочь, толочь
pour; |pɔːr|;полить, лить, литься, наливать, вливаться, ливень, литник
poverty; |ˈpɑːvərti|;бедность, нищета, скудость, нужда, убожество, скудность, оскудение
powder; |ˈpaʊdər|;порошок, пудра, порох, пыль, присыпка, пудриться, напудрить, припудривать
power; |ˈpaʊər|;мощность, власть, силовой, много
powerful; |ˈpaʊərfl|;мощный, сильный, могущественный, могучий, влиятельный, яркий, значительный
practical;  |ˈpræktɪkl|; практический, практичный, удобный, реальный, фактический, полезный, целесообразный
practically; |ˈpræktɪkli|;практически, фактически, почти, на практике, на деле
practice;  |ˈpræktɪs|; практика, опыт, тренировка, практиковать, практический, учебный
practise; |ˈpræktɪs|;практика, опыт, тренировка, практиковать, практический, учебный
praise; |preɪz|;хвала, похвала, восхваление, хвалить, восхвалять, превозносить
pray; |preɪ|;молиться, помолиться, просить, умалять, молитва, просьба
prayer; |prer|;молитва, молебен, мольба, просьба, молящийся, богомолье, проситель
precise; |prɪˈsaɪs|;точный, четкий, определенный, тщательный, уточнять
precisely; |prɪˈsaɪsli|;именно, точно, в точности, совершенно верно
predict; |prɪˈdɪkt|;предсказывать
prefer; |prɪˈfɜːr|;предпочитать, выдвигать, представлять, предпочтительный
preference; |ˈprefrəns|;предпочтение, преферанс, преференция, привилегированный
pregnant;  |ˈpreɡnənt|; беременная, богатый, чреватый, содержательный, полный смысла, полный значения
premise; |ˈpremɪs|;предпосылка, посылка, владение, предпосылать
premises; |ˈpremɪsɪz|;помещение, дом
preparation; |ˌprepəˈreɪʃn|;подготовка, препарат, приготовление, обогащение, лекарство, подготавливание
prepare; |prɪˈper|;готовить, готовиться, подготавливать, подготавливаться, составлять, заготовить
prepared; |priˈperd|;подготовленный, готовый, приготовленный, очищенный
preposition; |ˌprepəˈzɪʃn|;предлог, препозиция, предложный
presence; |ˈprezns|;присутствие, наличие, явка, общество, внешний вид, осанка, соседство
present;  |ˈpreznt|; настоящий, представлять, настоящее время, налицо
presentation;  |ˌpriːzenˈteɪʃn|; презентация, представление, вручение, предъявление, показ, подарок, поднесение
preserve; |prɪˈzɜːrv|;заповедник, варенье, сохранять, хранить, впрок
president; |ˈprezɪdənt|;президент, председатель, ректор, губернатор, директор компании, директор банка
press; |pres|;пресс, пресса, печать, жим, надавливание, нажимать, давить, настаивать, жать
pressure; |ˈpreʃər|;давление, напряжение, напор, нажим, воздействие, нажатие, сжатие
presumably; |prɪˈzuːməbli|;предположительно, по-видимому
presume; |prɪˈzuːm|;предполагать, полагать, допускать, осмеливаться, считать доказанным
pretend; |prɪˈtend|;притворяться, делать вид, претендовать, симулировать, прикидываться, ссылаться
pretty; |ˈprɪti|;довольно, достаточно, значительный, хорошенький, безделушка
prevent; |prɪˈvent|;предотвращать, препятствовать, предупреждать, не допускать, мешать, предохранять
previous; |ˈpriːviəs|;предыдущий, предшествующий, опрометчивый, преждевременный, поспешный
previously; |ˈpriːviəsli|;предварительно, заранее
price; |praɪs|;цена, ценность, расценка, жертва, оценивать, назначать цену
pride; |praɪd|;гордость, гордыня, чувство гордости, гордиться
priest; |priːst|;священник, жрец, посвящать в священники
primarily;  |praɪˈmerəli|; в первую очередь, прежде всего, главным образом, первоначально, сначала
primary;  |ˈpraɪmeri|; первичный, основной, начальный, главный, первичная обмотка, основной цвет
prince; |prɪns|;князь, принц, государь, правитель, король, выдающийся деятель, магнат
princess; |ˌprɪnˈses|;принцесса, княгиня, княжна, вид кровельной черепицы
principal; |ˈprɪnsəpl|;основной, главный, ведущий, принципал, директор школы, глава
principle; |ˈprɪnsəpl|;принцип, правило, закон, элемент, причина, источник, принцип устройства
